Date,AAPL,MSFT,NVDA,GOOGL,AVGO,JPM,V,MA,BRK-B,UNH,JNJ,LLY,AMZN,TSLA,HD,XOM,CVX,HON,BA,SHW
2015-08-18 00:00:00-04:00,26.1805362701416,41.257667541503906,0.5609139204025269,34.231204986572266,9.320579528808594,51.92323303222656,69.44353485107422,91.87043762207031,141.36000061035156,107.38743591308594,75.23250579833984,70.05149841308594,26.750999450683594,17.381332397460938,97.02762603759766,50.7385139465332,54.945308685302734,82.70156860351562,128.88525390625,86.73528289794922
2015-08-19 00:00:00-04:00,25.845685958862305,40.681602478027344,0.5587264895439148,34.495121002197266,9.260347366333008,51.4588737487793,69.37825775146484,90.92915344238281,140.47000122070312,105.43647003173828,75.18711853027344,70.37071228027344,26.645999908447266,17.016666412353516,96.99601745605469,49.65079116821289,53.279327392578125,81.79054260253906,127.20952606201172,85.77685546875
2015-08-20 00:00:00-04:00,25.31533432006836,39.85243225097656,0.5385552048683167,33.77146530151367,8.770830154418945,50.19525146484375,68.95862579345703,89.0089340209961,138.38999938964844,102.50149536132812,74.79341125488281,73.36128234863281,25.788999557495117,16.14533233642578,95.2419662475586,48.56957244873047,52.179622650146484,79.92176055908203,122.12898254394531,81.82147979736328
2015-08-21 00:00:00-04:00,23.7669734954834,37.59185791015625,0.521786093711853,32.00952911376953,8.49786376953125,48.413970947265625,66.38493347167969,85.356689453125,134.22000122070312,99.49808502197266,72.9014663696289,71.00914001464844,24.723499298095703,15.38466739654541,91.78118896484375,46.980342864990234,49.88804244995117,76.99397277832031,117.39608764648438,79.51825714111328
2015-08-24 00:00:00-04:00,23.173702239990234,36.3786506652832,0.503315806388855,30.72125244140625,8.38272762298584,45.863861083984375,63.74593734741211,82.67398071289062,129.57000732421875,94.49238586425781,70.81114196777344,67.81695556640625,23.168500900268555,14.591333389282227,88.9209213256836,44.75931167602539,47.491092681884766,74.1907958984375,113.3673095703125,77.37928771972656
2015-08-25 00:00:00-04:00,23.313024520874023,35.32255935668945,0.49286535382270813,30.440937042236328,8.27369213104248,45.60506820678711,62.44975662231445,81.72327423095703,127.73999786376953,94.1073226928711,69.21672821044922,65.74205780029297,23.318500518798828,14.66866683959961,87.680419921875,44.7527961730957,46.10823059082031,73.13959503173828,111.85206604003906,75.65412902832031
2015-08-26 00:00:00-04:00,24.650148391723633,37.27765655517578,0.5300490260124207,32.79034423828125,8.860039710998535,47.88873291015625,65.91867065429688,86.32623291015625,132.61000061035156,97.08506774902344,72.55815124511719,68.12777709960938,25.03849983215332,14.989333152770996,91.59944152832031,47.22132873535156,48.12983703613281,76.1763916015625,115.28365325927734,77.7535171508789
2015-08-27 00:00:00-04:00,25.376007080078125,38.31630325317383,0.5499773621559143,33.19889450073242,9.627097129821777,49.083866119384766,67.51324462890625,88.52886199951172,136.22999572753906,100.77305603027344,73.40496826171875,70.34549713134766,25.918500900268555,16.19933319091797,92.96637725830078,48.751949310302734,51.126014709472656,77.78042602539062,117.53868865966797,78.91578674316406
2015-08-28 00:00:00-04:00,25.45916748046875,38.342472076416016,0.5524078607559204,32.78786087036133,9.730796813964844,48.81742477416992,67.56918334960938,88.55708312988281,135.74000549316406,100.35375213623047,72.60391998291016,69.88349151611328,25.90049934387207,16.565332412719727,92.85575866699219,48.89524841308594,52.963226318359375,77.88165283203125,118.75979614257812,78.53245544433594
2015-08-31 00:00:00-04:00,25.340055465698242,37.984619140625,0.546332061290741,32.197898864746094,9.604989051818848,48.794586181640625,66.48748779296875,86.94747161865234,134.0399932861328,99.00179290771484,71.69608306884766,69.1778335571289,25.644500732421875,16.604000091552734,92.01822662353516,49.005977630615234,53.33199691772461,77.29767608642578,116.47803497314453,77.8326644897461
2015-09-01 00:00:00-04:00,24.207435607910156,36.50086212158203,0.5239734053611755,31.290342330932617,9.101747512817383,46.777347564697266,64.30545043945312,83.8223648071289,130.41000366210938,96.3748550415039,70.25421905517578,67.03572845458984,24.82699966430664,15.908666610717773,89.79460906982422,46.947776794433594,51.48818588256836,74.72029113769531,113.59014129638672,75.61761474609375
2015-09-02 00:00:00-04:00,25.24566650390625,37.84497833251953,0.5397703051567078,32.05326461791992,9.4578275680542,47.62991714477539,64.9208984375,85.12138366699219,132.22000122070312,97.74395751953125,71.2154769897461,68.72421264648438,25.52750015258789,16.512666702270508,92.50265502929688,47.69680404663086,51.402584075927734,76.31654357910156,116.43346405029297,77.31844329833984
2015-09-03 00:00:00-04:00,24.802955627441406,37.967159271240234,0.5412284731864929,31.662609100341797,9.437239646911621,47.713653564453125,65.64825439453125,86.26976013183594,132.14999389648438,97.53858184814453,70.67381286621094,68.54781341552734,25.236000061035156,16.3713321685791,92.59794616699219,48.06154251098633,51.53428649902344,76.75257873535156,116.78105926513672,77.85088348388672
2015-09-04 00:00:00-04:00,24.555763244628906,37.19037628173828,0.5285908579826355,31.260520935058594,9.237467765808105,46.815406799316406,64.49197387695312,85.21549224853516,129.63999938964844,96.14384460449219,69.65918731689453,67.47254180908203,24.950000762939453,16.1286678314209,90.86669921875,47.195281982421875,50.48725128173828,75.21084594726562,115.65801239013672,77.23933410644531
2015-09-08 00:00:00-04:00,25.238929748535156,38.30756759643555,0.5511926412582397,32.0020751953125,9.84821891784668,48.07904815673828,65.76947784423828,87.44635772705078,132.89999389648438,99.33551025390625,71.66556549072266,69.62307739257812,25.87700080871582,16.544666290283203,92.46295166015625,47.87266540527344,50.599220275878906,77.7181396484375,119.27678680419922,79.60343170166016
